match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Roma vs Napoli,1X2,Away,2.41,0.5042521436754357,0.41493775933609955,0.08931438433933614,W,14.100000000000001,Serie A,1,2022-10-23
Karlsruhe vs Fortuna Dusseldorf,1X2,Home,2.33,0.5129540116046202,0.4291845493562232,0.08376946224839699,L,-10.0,2. Bundesliga,2,2022-10-23
Hamburg vs Magdeburg,O/U,Under 2.5,2.55,0.5007842882843814,0.3921568627450981,0.10862742553928328,L,-10.0,2. Bundesliga,2,2022-10-23
Villarreal vs Almeria,O/U,Under 2.5,2.17,0.520983475396454,0.4608294930875576,0.06015398230889635,L,-10.0,La Liga,1,2022-10-23
Girona vs Osasuna,1X2,Home,2.59,0.471389617422034,0.3861003861003861,0.0852892313216479,L,-10.0,La Liga,1,2022-10-23
Le Havre vs Metz,1X2,Home,1.98,0.5777670762088234,0.5050505050505051,0.07271657115831831,W,9.8,Ligue 2,2,2022-10-24
Ascoli vs Cagliari,1X2,Home,2.8,0.4664548038987215,0.35714285714285715,0.10931194675586436,W,18.0,Serie B,2,2022-10-24
Stockport vs Carlisle,1X2,Away,3.9,0.35662733410482794,0.25641025641025644,0.1002170776945715,L,-10.0,League Two,4,2022-10-25
Portsmouth vs Oxford,1X2,Home,2.25,0.5402458476589858,0.4444444444444444,0.09580140321454134,L,-10.0,League One,3,2022-10-25
Northampton vs Sutton,1X2,Home,2.31,0.5325715908152822,0.4329004329004329,0.09967115791484926,L,-10.0,League Two,4,2022-10-25
Doncaster vs Stevenage,1X2,Home,3.4,0.39891796984449335,0.29411764705882354,0.10480032278566981,L,-10.0,League Two,4,2022-10-25
Magdeburg vs Heidenheim,O/U,Under 2.5,2.08,0.5411195827438093,0.4807692307692307,0.06035035197457861,W,10.8,2. Bundesliga,2,2022-10-28
Werder Bremen vs Hertha,O/U,Under 2.5,2.4,0.4887320675055572,0.4166666666666667,0.07206540083889051,W,14.0,Bundesliga,1,2022-10-28
Karagumruk vs Galatasaray,O/U,Under 2.5,2.18,0.5130147644606395,0.4587155963302752,0.05429916813036434,W,11.8,Super Lig,1,2022-10-28
Ein Frankfurt vs Dortmund,1X2,Home,2.81,0.4924661621587354,0.35587188612099646,0.13659427603773894,L,-10.0,Bundesliga,1,2022-10-29
Strasbourg vs Marseille,1X2,Away,2.38,0.502127821763892,0.42016806722689076,0.08195975453700127,L,-10.0,Ligue 1,1,2022-10-29
Wycombe vs Morecambe,O/U,Under 2.5,2.21,0.5335157815904557,0.45248868778280543,0.08102709380765022,W,12.1,League One,3,2022-10-29
Almeria vs Celta,1X2,Home,3.26,0.50665148320291,0.3067484662576687,0.19990301694524126,W,22.599999999999998,La Liga,1,2022-10-29
Sevilla vs Vallecano,1X2,Away,3.99,0.3750953110594385,0.2506265664160401,0.12446874464339841,W,29.900000000000002,La Liga,1,2022-10-29
Newcastle vs Aston Villa,1X2,Home,1.83,0.6249677819440727,0.5464480874316939,0.07851969451237872,W,8.3,Premier League,1,2022-10-29
Fulham vs Everton,1X2,Home,2.36,0.526786786822703,0.42372881355932207,0.1030579732633809,L,-10.0,Premier League,1,2022-10-29
Holstein Kiel vs Fortuna Dusseldorf,O/U,Under 2.5,2.21,0.5054190438700892,0.45248868778280543,0.05293035608728375,L,-10.0,2. Bundesliga,2,2022-10-29
St Pauli vs Darmstadt,O/U,Under 2.5,2.2,0.5171437260396456,0.45454545454545453,0.06259827149419112,W,12.000000000000002,2. Bundesliga,2,2022-10-29
Northampton vs Newport County,1X2,Home,2.2,0.5444034166665694,0.45454545454545453,0.08985796212111491,L,-10.0,League Two,4,2022-10-29
Empoli vs Atalanta,O/U,Under 2.5,2.06,0.5355765274653428,0.4854368932038835,0.05013963426145929,W,10.600000000000001,Serie A,1,2022-10-30
