date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-09-13,WTA,WTA250,Hard,1st Round,pB,2.65,0.48706237673759456,0.37735849056603776,0.1097038861715568,0,-10.0
2022-09-13,WTA,WTA250,Hard,1st Round,pB,2.86,0.39659440517425537,0.3496503496503497,0.04694405552390568,1,18.599999999999998
2022-09-13,WTA,WTA250,Hard,1st Round,pB,1.42,0.9094000093638896,0.7042253521126761,0.20517465725121353,1,4.199999999999999
2022-09-13,WTA,WTA250,Hard,1st Round,pB,2.94,0.48602713942527775,0.3401360544217687,0.14589108500350906,0,-10.0
2022-09-13,WTA,WTA250,Hard,1st Round,pB,2.62,0.9427287854254246,0.38167938931297707,0.5610493961124475,1,16.200000000000003
2022-09-14,WTA,WTA250,Hard,2nd Round,pA,1.67,0.8726531863212585,0.5988023952095809,0.27385079111167765,0,-10.0
2022-09-14,WTA,WTA250,Hard,2nd Round,pB,1.27,0.8453663855791091,0.7874015748031495,0.05796481077595961,1,2.7
2022-09-14,WTA,WTA250,Hard,2nd Round,pA,2.39,0.60929194688797,0.41841004184100417,0.19088190504696578,0,-10.0
2022-09-15,WTA,WTA250,Hard,2nd Round,pA,3.11,0.43343186378479004,0.3215434083601286,0.11188845542466141,1,21.099999999999998
2022-09-15,WTA,WTA250,Hard,2nd Round,pA,2.02,0.5319800615310669,0.49504950495049505,0.03693055658057187,1,10.2
2022-09-16,WTA,WTA250,Hard,Quarterfinals,pA,1.49,0.7955067396163941,0.6711409395973155,0.1243658000190786,0,-10.0
2022-09-17,WTA,WTA250,Hard,Quarterfinals,pB,2.28,0.47149404883384705,0.4385964912280702,0.03289755760577684,0,-10.0
2022-09-17,WTA,WTA250,Hard,Semifinals,pA,1.37,0.8865563273429871,0.7299270072992701,0.156629320043717,1,3.700000000000001
2022-09-19,WTA,WTA250,Hard,1st Round,pB,1.82,0.9790201412281021,0.5494505494505494,0.4295695917775527,1,8.200000000000001
2022-09-19,WTA,WTA250,Hard,1st Round,pB,3.19,0.3826232314109802,0.31347962382445144,0.06914360758652877,0,-10.0
2022-09-19,WTA,WTA250,Hard,1st Round,pB,1.59,0.9925865014782176,0.6289308176100629,0.3636556838681547,1,5.9
2022-09-19,WTA,WTA250,Hard,1st Round,pA,2.23,0.9471165299415588,0.4484304932735426,0.4986860366680162,1,12.3
2022-09-20,WTA,WTA250,Hard,1st Round,pA,2.26,0.9053128480911254,0.4424778761061947,0.46283497198493073,1,12.599999999999998
2022-09-20,WTA,WTA250,Hard,1st Round,pB,1.13,0.9883056164719164,0.8849557522123894,0.10334986425952697,1,1.299999999999999
2022-09-20,WTA,WTA250,Hard,1st Round,pB,1.38,0.9958994563436135,0.7246376811594204,0.27126177518419314,1,3.799999999999999
2022-09-20,WTA,WTA250,Hard,1st Round,pA,1.81,0.5924593448638916,0.5524861878453039,0.039973157018587724,0,-10.0
2022-09-20,WTA,WTA250,Hard,1st Round,pB,1.74,0.9978845679899677,0.5747126436781609,0.42317192431180684,1,7.4
2022-09-20,WTA,WTA250,Hard,1st Round,pA,4.15,0.2712683916091919,0.24096385542168672,0.0303045361875052,0,-10.0
