league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
Iceland: Pepsideild,3,383,116,0.3029,-84.04,-2.19,3.42,0.2436,3,7,"{'2008-09': -34.97, '2009-10': -1.38, '2010-11': 2.67, '2011-12': 5.28, '2012-13': 12.43, '2013-14': -11.53, '2014-15': -11.14}"
Spain: Primera Division,1,1704,513,0.3011,-430.44,-2.53,3.47,0.2558,5,10,"{'2004-05': -9.23, '2005-06': 12.93, '2006-07': 8.81, '2007-08': 9.07, '2008-09': -12.44, '2009-10': -26.0, '2011-12': -7.52, '2012-13': 3.13, '2013-14': 1.67, '2014-15': -5.87}"
Belgium: Belgium Third Division Group B,3,539,160,0.2968,-153.03,-2.84,3.369,0.2616,2,4,"{'2011-12': -14.16, '2012-13': 0.67, '2013-14': 1.7, '2014-15': -5.39}"
Uruguay: Primera Division,1,1206,354,0.2935,-360.46,-2.99,3.377,0.2487,3,10,"{'2005-06': -12.0, '2006-07': 20.18, '2007-08': -4.13, '2008-09': -4.75, '2009-10': -6.54, '2010-11': -10.95, '2011-12': -20.29, '2012-13': -13.14, '2013-14': 9.75, '2014-15': 13.19}"
Denmark: NordicBet Ligaen,3,205,64,0.3122,-67.79,-3.31,3.358,0.2455,1,2,"{'2013-14': 13.26, '2014-15': -20.71}"
England: Blue Square Bet South,3,813,243,0.2989,-270.05,-3.32,3.324,0.2575,2,3,"{'2010-11': 2.69, '2011-12': -17.35, '2012-13': 5.72}"
Scotland: League One,3,210,63,0.3,-71.7,-3.41,3.33,0.2507,1,2,"{'2013-14': -9.48, '2014-15': 2.2}"
England: Blue Square Bet Premier,3,668,198,0.2964,-233.97,-3.5,3.361,0.2545,1,2,"{'2011-12': -8.84, '2012-13': 1.52}"
Finland: Veikkausliiga,3,956,284,0.2971,-357.84,-3.74,3.412,0.2659,4,11,"{'2004-05': -59.04, '2005-06': -5.95, '2006-07': 16.51, '2007-08': 1.22, '2008-09': -30.57, '2009-10': -4.48, '2010-11': 11.09, '2011-12': 5.84, '2012-13': -9.85, '2013-14': -3.49, '2014-15': -2.21}"
Netherlands: Eredivisie,1,1498,447,0.2984,-604.38,-4.03,3.434,0.2718,5,11,"{'2004-05': 0.4, '2005-06': 0.43, '2006-07': -24.84, '2007-08': -22.93, '2008-09': 11.79, '2009-10': -8.12, '2010-11': -6.61, '2011-12': 22.05, '2012-13': -3.26, '2013-14': 0.25, '2014-15': -9.85}"
